territory_id,cluster,name
62,0,Краснокамский муниципальный район
63,1,Кугарчинский муниципальный район
65,1,Кушнаренковский муниципальный район
66,2,Мелеузовский муниципальный район
67,1,Мечетлинский муниципальный район
68,1,Мишкинский муниципальный район
69,1,Миякинский муниципальный район
70,1,Нуримановский муниципальный район
71,1,Салаватский муниципальный район
72,1,Стерлибашевский муниципальный район
73,2,Стерлитамакский муниципальный район
74,2,Татышлинский муниципальный район
75,2,Туймазинский муниципальный район
76,4,Уфимский муниципальный район
77,2,Учалинский муниципальный район
78,1,Федоровский муниципальный район
79,0,Хайбуллинский муниципальный район
80,1,Чекмагушевский муниципальный район
81,2,Чишминский муниципальный район
82,1,Шаранский муниципальный район
83,2,Янаульский муниципальный район
167,2,городской округ Нальчик
168,1,городской округ Баксан
169,2,городской округ Прохладный
173,1,Майский муниципальный район
181,1,Городовиковский муниципальный район
184,1,Лаганский муниципальный район
185,1,Малодербетовский муниципальный район
188,1,Сарпинский муниципальный район
191,1,Юстинский муниципальный район
194,2,городской округ Черкесский
195,2,городской округ Карачаевский
196,1,Абазинский муниципальный район
198,1,Зеленчукский муниципальный район
201,1,Ногайский муниципальный район
203,1,Урупский муниципальный район
204,2,Усть-Джегутинский муниципальный район
205,1,Хабезский муниципальный район
206,2,городской округ Петрозаводский
207,2,городской округ Костомукшский
208,1,Беломорский муниципальный округ
209,3,Калевальский муниципальный район
210,1,Кемский муниципальный район
211,2,Кондопожский муниципальный район
212,1,Лахденпохский муниципальный район
213,1,Лоухский муниципальный район
214,1,Медвежьегорский муниципальный район
215,1,Муезерский муниципальный район
216,1,Олонецкий муниципальный район
217,1,Питкярантский муниципальный округ
218,0,Прионежский муниципальный район
219,1,Пряжинский муниципальный район
220,1,Пудожский муниципальный район
221,2,Сегежский муниципальный округ
222,2,Сортавальский муниципальный район
223,1,Суоярвский муниципальный округ
224,2,городской округ Сыктывкар
225,0,городской округ Воркута
226,0,муниципальный округ Вуктыл
227,2,городской округ Инта
228,0,муниципальный округ Усинск
229,2,городской округ Ухта
230,3,Ижемский муниципальный район
231,2,Княжпогостский муниципальный район
232,1,Койгородский муниципальный район
233,1,Корткеросский муниципальный район
234,0,муниципальный район Печора
235,1,Прилузский муниципальный район
236,2,муниципальный район Сосногорск
237,1,Сыктывдинский муниципальный район
238,1,Сысольский муниципальный район
239,1,Троицко-Печорский муниципальный район
240,1,Удорский муниципальный район
241,2,Усть-Вымский муниципальный район
242,1,Усть-Куломский муниципальный район
243,3,Усть-Цилемский муниципальный район
269,2,городской округ город Йошкар-Ола
270,2,городской округ город Волжск
271,2,городской округ город Козьмодемьянск
272,1,Волжский муниципальный район
273,1,Горномарийский муниципальный район
274,2,Звениговский муниципальный район
275,1,Килемарский муниципальный район
276,1,Куженерский муниципальный район
277,1,Мари-Турекский муниципальный район
278,2,Медведевский муниципальный район
279,1,Моркинский муниципальный район
280,1,Новоторъяльский муниципальный район
281,1,Оршанский муниципальный район
282,1,Параньгинский муниципальный район
283,2,Сернурский муниципальный район
284,1,Советский муниципальный район
285,1,Юринский муниципальный район
287,1,Ардатовский муниципальный район
288,1,Атюрьевский муниципальный район
289,1,Атяшевский муниципальный район
290,1,Большеберезниковский муниципальный район
292,1,Дубенский муниципальный район
293,1,Ельниковский муниципальный район
294,1,Зубово-Полянский муниципальный район
295,1,Инсарский муниципальный район
296,1,Ичалковский муниципальный район
297,1,Кадошкинский муниципальный район
298,1,Ковылкинский муниципальный район
300,1,Краснослободский муниципальный район
301,1,Лямбирский муниципальный район
302,1,Ромодановский муниципальный район
303,2,Рузаевский муниципальный район
304,1,Старошайговский муниципальный район
305,1,Темниковский муниципальный район
306,1,Теньгушевский муниципальный район
307,1,Торбеевский муниципальный район
308,2,Чамзинский муниципальный район
309,4,городской округ город Якутск
312,0,Алданский муниципальный район
314,3,Амгинский муниципальный район
316,0,Булунский муниципальный район
317,3,Верхневилюйский муниципальный район
318,3,Верхнеколымский муниципальный район
319,3,Верхоянский муниципальный район
320,3,Вилюйский муниципальный район
321,3,Горный муниципальный район
323,3,Кобяйский муниципальный район
324,3,Нюрбинский муниципальный район
325,0,Ленский муниципальный район
326,3,Мегино-Кангаласский муниципальный район
327,0,Мирнинский муниципальный район
329,3,Намский муниципальный район
330,0,Нерюнгринский муниципальный район
331,3,Нижнеколымский муниципальный район
332,0,Оймяконский муниципальный район
333,0,Олекминский муниципальный район
334,0,Оленекский эвенкийский национальный муниципальный район
335,3,Среднеколымский муниципальный район
336,3,Сунтарский муниципальный район
337,3,Таттинский муниципальный район
338,3,Томпонский муниципальный район
339,3,Усть-Алданский муниципальный район
340,0,Усть-Майский муниципальный район
341,0,Усть-Янский муниципальный район
342,3,Хангаласский муниципальный район
343,3,Чурапчинский муниципальный район
345,2,городской округ город Владикавказ
346,1,Алагирский муниципальный район
347,1,Ардонский муниципальный район
348,1,Дигорский муниципальный район
349,1,Ирафский муниципальный район
351,2,Моздокский муниципальный район
352,1,Правобережный муниципальный район
354,4,городской округ город Казань
355,2,городской округ город Набережные Челны
356,2,Агрызский муниципальный район
357,0,Азнакаевский муниципальный район
358,1,Аксубаевский муниципальный район
359,1,Актанышский муниципальный район
360,1,Алексеевский муниципальный район
361,1,Алькеевский муниципальный район
362,4,Альметьевский муниципальный район
363,1,Апастовский муниципальный район
364,1,Арский муниципальный район
365,1,Атнинский муниципальный район
366,0,Бавлинский муниципальный район
367,1,Балтасинский муниципальный район
368,2,Бугульминский муниципальный район
369,1,Буинский муниципальный район
370,4,Верхнеуслонский муниципальный район
371,2,Высокогорский муниципальный район
372,1,Дрожжановский муниципальный район
373,2,Елабужский муниципальный район
374,2,Заинский муниципальный район
375,4,Зеленодольский муниципальный район
376,1,Кайбицкий муниципальный район
377,1,Камско-Устьинский муниципальный район
378,1,Кукморский муниципальный район
379,4,Лаишевский муниципальный район
380,2,Лениногорский муниципальный район
381,1,Мамадышский муниципальный район
382,2,Менделеевский муниципальный район
383,1,Мензелинский муниципальный район
384,1,Муслюмовский муниципальный район
385,2,Нижнекамский муниципальный район
386,1,Новошешминский муниципальный район
387,2,Нурлатский муниципальный район
388,2,Пестречинский муниципальный район
390,1,Сабинский муниципальный район
391,1,Сармановский муниципальный район
392,1,Спасский муниципальный район
393,1,Тетюшский муниципальный район
395,1,Тюлячинский муниципальный район
396,1,Черемшанский муниципальный район
397,2,Чистопольский муниципальный район
398,1,Ютазинский муниципальный район
401,3,Бай-Тайгинский муниципальный район
402,3,Барун-Хемчикский муниципальный район
403,3,Дзун-Хемчикский муниципальный район
404,3,Каа-Хемский муниципальный район
405,3,Кызылский муниципальный район
408,3,Пий-Хемский муниципальный район
410,3,Тандинский муниципальный район
413,3,Тоджинский муниципальный район
414,3,Улуг-Хемский муниципальный район
416,3,Чеди-Хольский муниципальный район
418,2,городской округ город Ижевск
419,2,городской округ город Воткинск
420,2,городской округ город Глазов
421,2,городской округ город Можга
422,2,городской округ город Сарапул
423,1,муниципальный округ Алнашский район
424,1,муниципальный округ Балезинский район
425,1,муниципальный округ Вавожский район
428,1,муниципальный округ Граховский район
429,1,муниципальный округ Дебёсский район
430,2,муниципальный округ Завьяловский район
431,1,муниципальный округ Игринский район
432,1,муниципальный округ Камбарский район
433,1,муниципальный округ Каракулинский район
434,1,муниципальный округ Кезский район
435,1,муниципальный округ Кизнерский район
436,1,муниципальный округ Киясовский район
437,1,муниципальный округ Красногорский район
438,1,муниципальный округ Малопургинский район
440,1,муниципальный округ Сарапульский район
441,1,муниципальный округ Селтинский район
442,1,муниципальный округ Сюмсинский район
443,1,муниципальный округ Увинский район
444,1,муниципальный округ Шарканский район
445,1,муниципальный округ Юкаменский район
446,1,муниципальный округ Якшур-Бодьинский район
447,1,муниципальный округ Ярский район
448,2,городской округ город Абакан
449,3,городской округ город Абаза
450,2,городской округ город Саяногорск
451,0,городской округ город Сорск
452,2,городской округ город Черногорск
453,0,Алтайский муниципальный район
455,3,Бейский муниципальный район
456,1,Боградский муниципальный район
457,1,Орджоникидзевский муниципальный район
458,3,Таштыпский муниципальный район
459,3,Усть-Абаканский муниципальный район
460,3,Ширинский муниципальный район
478,2,городской округ город Чебоксары
479,2,городской округ город Алатырь
480,2,городской округ город Канаш
481,2,городской округ город Новочебоксарск
482,2,городской округ город Шумерля
484,1,Аликовский муниципальный округ
485,1,Батыревский муниципальный округ
486,1,Вурнарский муниципальный округ
487,1,Ибресинский муниципальный округ
489,1,Козловский муниципальный округ
490,1,Комсомольский муниципальный округ
491,1,Красноармейский муниципальный округ
492,1,Красночетайский муниципальный округ
493,1,Мариинско-Посадский муниципальный округ
494,1,Моргаушский муниципальный округ
495,1,Порецкий муниципальный округ
496,1,Урмарский муниципальный округ
497,2,Цивильский муниципальный округ
498,2,Чебоксарский муниципальный округ
499,1,Шемуршинский муниципальный округ
501,1,Ядринский муниципальный округ
502,1,Яльчикский муниципальный округ
503,1,Янтиковский муниципальный округ
504,2,городской округ город Барнаул
505,2,городской округ город Алейск
506,2,городской округ город Белокуриха
507,2,городской округ город Бийск
508,2,городской округ город Заринск
509,2,городской округ город Новоалтайск
510,2,городской округ город Рубцовск
511,2,муниципальный округ город Славгород
512,2,городской округ город Яровое
515,3,Алтайский муниципальный район
516,1,Баевский муниципальный район
517,1,Бийский муниципальный район
518,1,Благовещенский муниципальный район
519,1,Бурлинский муниципальный район
520,1,Быстроистокский муниципальный район
521,1,Волчихинский муниципальный район
522,1,Егорьевский муниципальный район
523,1,Ельцовский муниципальный район
524,1,Завьяловский муниципальный район
525,1,Залесовский муниципальный округ
527,1,Змеиногорский муниципальный район
528,1,Калманский муниципальный район
529,1,Каменский муниципальный район
530,1,Ключевский муниципальный район
531,1,Косихинский муниципальный район
532,1,Красногорский муниципальный район
533,1,Краснощёковский муниципальный район
534,1,Крутихинский муниципальный район
535,1,Кулундинский муниципальный район
536,1,Курьинский муниципальный район
537,1,Кытмановский муниципальный район
538,1,Локтевский муниципальный район
539,1,Мамонтовский муниципальный район
540,1,Михайловский муниципальный район
541,1,Новичихинский муниципальный район
542,1,Зональный муниципальный район
543,1,Павловский муниципальный район
544,1,Панкрушихинский муниципальный район
545,1,Первомайский муниципальный район
546,1,Петропавловский муниципальный район
547,1,Поспелихинский муниципальный район
548,1,Ребрихинский муниципальный район
549,1,Родинский муниципальный район
550,1,Романовский муниципальный район
552,1,Смоленский муниципальный район
553,1,муниципальный округ Суетский район
554,3,Советский муниципальный район
555,1,Солонешенский муниципальный район
556,1,Солтонский муниципальный район
557,1,Шелаболихинский муниципальный район
558,1,Табунский муниципальный район
559,1,Тальменский муниципальный район
560,1,Тогульский муниципальный район
561,1,Топчихинский муниципальный район
562,1,Третьяковский муниципальный район
563,1,Троицкий муниципальный район
564,1,Тюменцевский муниципальный район
565,1,Угловский муниципальный район
566,1,Усть-Калманский муниципальный район
567,1,Усть-Пристанский муниципальный район
568,1,Хабарский муниципальный район
569,1,Целинный муниципальный район
570,1,муниципальный округ Чарышский район
571,1,Шипуновский муниципальный район
572,1,Немецкий национальный муниципальный район
574,3,городской округ город Петровск-Забайкальский
578,3,Балейский муниципальный район
579,3,Борзинский муниципальный район
580,0,Газимуро-Заводский муниципальный округ
581,3,Забайкальский муниципальный район
582,0,Каларский муниципальный округ
583,0,Калганский муниципальный округ
584,3,Карымский муниципальный район
585,2,муниципальный район Город Краснокаменск и Краснокаменский район
586,3,Красночикойский муниципальный район
587,3,Кыринский муниципальный район
588,0,Могочинский муниципальный округ
589,3,Нерчинский муниципальный район
591,3,Оловяннинский муниципальный район
592,3,Ононский муниципальный округ
593,3,Петровск-Забайкальский муниципальный район
594,3,Приаргунский муниципальный округ
595,3,Сретенский муниципальный район
598,3,Улётовский муниципальный район
599,3,Хилокский муниципальный район
600,3,Чернышевский муниципальный район
601,3,Читинский муниципальный район
602,3,Шелопугинский муниципальный район
603,3,Шилкинский муниципальный район
604,3,городской округ поселок Агинское
605,3,Агинский муниципальный район
606,3,Дульдургинский муниципальный район
607,3,Могойтуйский муниципальный район
608,4,городской округ Петропавловск-Камчатский
612,3,Елизовский муниципальный район
613,3,Мильковский муниципальный округ
614,0,Соболевский муниципальный район
615,3,Усть-Большерецкий муниципальный район
616,3,Усть-Камчатский муниципальный район
618,0,Карагинский муниципальный район
619,0,Олюторский муниципальный район
621,3,Тигильский муниципальный район
666,2,городской округ город Красноярск
667,2,городской округ город Ачинск
668,2,городской округ город Боготол
669,2,городской округ город Бородино
670,2,городской округ город Дивногорск
671,2,городской округ город Енисейск
674,2,городской округ город Канск
675,2,городской округ город Лесосибирск
676,2,городской округ город Минусинск
677,2,городской округ город Назарово
678,0,городской округ город Норильск
679,2,городской округ город Сосновоборск
680,2,городской округ город Шарыпово
683,1,Абанский муниципальный район
685,1,Балахтинский муниципальный район
686,2,Березовский муниципальный район
687,1,Бирилюсский муниципальный район
689,3,Богучанский муниципальный район
690,1,Большемуртинский муниципальный район
691,1,Большеулуйский муниципальный район
692,1,Дзержинский муниципальный район
693,4,Емельяновский муниципальный район
694,3,Енисейский муниципальный район
695,3,Ермаковский муниципальный район
696,1,Идринский муниципальный район
697,2,Иланский муниципальный район
698,1,Ирбейский муниципальный район
699,1,Казачинский муниципальный район
701,1,Каратузский муниципальный район
702,3,Кежемский муниципальный район
703,1,Козульский муниципальный район
704,1,Краснотуранский муниципальный район
705,1,Курагинский муниципальный район
706,1,Манский муниципальный район
708,0,Мотыгинский муниципальный район
710,1,Нижнеингашский муниципальный район
711,3,Новоселовский муниципальный район
712,3,Партизанский муниципальный район
713,1,Пировский муниципальный округ
714,3,Рыбинский муниципальный район
715,1,Саянский муниципальный район
716,0,Северо-Енисейский муниципальный район
717,1,Сухобузимский муниципальный район
718,0,Таймырский Долгано-Ненецкий муниципальный район
719,1,Тасеевский муниципальный район
720,0,Туруханский муниципальный район
721,1,Тюхтетский муниципальный округ
722,3,Ужурский муниципальный район
723,1,Уярский муниципальный район
725,3,Шушенский муниципальный район
726,0,Эвенкийский муниципальный район
727,2,городской округ Пермский
731,2,городской округ Лысьвенский
734,2,муниципальный округ Александровский
735,1,муниципальный округ Бардымский
736,1,муниципальный округ Березовский
737,1,муниципальный округ Большесосновский
738,2,городской округ Верещагинский
739,2,городской округ Горнозаводский
741,2,городской округ Добрянский
742,1,муниципальный округ Еловский
743,1,городской округ Ильинский
744,1,муниципальный округ Карагайский
745,2,городской округ город Кизел
746,1,муниципальный округ Кишертский
747,1,городской округ Красновишерский
748,2,городской округ Краснокамский
749,1,муниципальный округ Куединский
751,2,городской округ Нытвенский
752,1,городской округ Октябрьский
753,1,муниципальный округ Ординский
754,2,городской округ Осинский
755,1,городской округ Оханский
756,2,городской округ Очерский
757,4,муниципальный округ Пермский
758,1,муниципальный округ Сивинский
760,1,городской округ Суксунский
761,1,муниципальный округ Уинский
763,2,городской округ Чайковский
764,1,муниципальный округ Частинский
765,1,городской округ Чердынский
766,2,городской округ Чернушинский
767,2,городской округ Чусовской
769,1,муниципальный округ Гайнский
770,3,муниципальный округ Косинский
771,1,муниципальный округ Кочевский
773,1,муниципальный округ Юрлинский
774,1,муниципальный округ Юсьвинский
775,4,городской округ Владивостокский
776,2,городской округ Арсеньевский
777,2,городской округ Артемовский
778,2,городской округ Большой Камень
779,2,городской округ Дальнегорский
780,2,городской округ Дальнереченский
781,3,городской округ Лесозаводский
782,2,городской округ Находкинский
783,2,городской округ Партизанский
784,2,городской округ Спасск-Дальний
785,2,городской округ Уссурийский
787,3,Анучинский муниципальный округ
788,3,Дальнереченский муниципальный район
789,3,Кавалеровский муниципальный округ
790,3,Кировский муниципальный район
791,3,Красноармейский муниципальный округ
792,3,Лазовский муниципальный округ
793,0,Михайловский муниципальный район
794,3,Надеждинский муниципальный район
795,3,Октябрьский муниципальный округ
796,3,Ольгинский муниципальный округ
797,3,Партизанский муниципальный округ
798,3,Пограничный муниципальный округ
799,2,Пожарский муниципальный округ
800,3,Спасский муниципальный район
801,1,Тернейский муниципальный округ
802,3,Ханкайский муниципальный округ
803,3,Хасанский муниципальный округ
804,3,Хорольский муниципальный округ
805,3,Черниговский муниципальный округ
806,3,Чугуевский муниципальный округ
807,3,Шкотовский муниципальный округ
808,3,Яковлевский муниципальный округ
809,2,городской округ город Ставрополь
810,1,Благодарненский муниципальный округ
811,2,Георгиевский муниципальный округ
812,2,городской округ город-курорт Ессентуки
813,2,городской округ город-курорт Железноводск
814,2,Изобильненский муниципальный округ
815,1,Ипатовский муниципальный округ
817,2,Кировский муниципальный округ
818,2,городской округ город Лермонтов
819,2,Минераловодский муниципальный округ
820,2,городской округ город Невинномысск
821,2,Нефтекумский муниципальный округ
822,1,Новоалександровский муниципальный округ
823,2,Петровский муниципальный округ
824,2,городской округ город-курорт Пятигорск
825,1,Советский муниципальный округ
826,1,Александровский муниципальный округ
827,1,Андроповский муниципальный округ
828,1,Апанасенковский муниципальный округ
829,1,Арзгирский муниципальный округ
830,2,Будённовский муниципальный округ
831,1,Грачёвский муниципальный округ
832,1,Кочубеевский муниципальный округ
833,1,Красногвардейский муниципальный округ
834,1,Курский муниципальный округ
835,1,Левокумский муниципальный округ
836,1,Новоселицкий муниципальный округ
838,1,Степновский муниципальный округ
839,1,Труновский муниципальный округ
840,1,Туркменский муниципальный округ
841,2,Шпаковский муниципальный округ
842,4,городской округ город Хабаровск
843,2,городской округ город Комсомольск-на-Амуре
844,2,Амурский муниципальный район
846,3,Бикинский муниципальный район
847,2,Ванинский муниципальный район
848,0,Верхнебуреинский муниципальный район
849,3,Вяземский муниципальный район
851,3,муниципальный район имени Лазо
852,3,Нанайский муниципальный район
853,0,Николаевский муниципальный район
854,0,Охотский муниципальный округ
855,3,муниципальный район имени Полины Осипенко
856,3,Советско-Гаванский муниципальный район
857,0,Солнечный муниципальный район
859,3,Ульчский муниципальный район
860,2,Хабаровский муниципальный район
870,3,Архаринский муниципальный округ
871,3,Белогорский муниципальный округ
872,3,Благовещенский муниципальный округ
873,3,Бурейский муниципальный округ
874,3,Завитинский муниципальный округ
875,0,Зейский муниципальный округ
876,3,Ивановский муниципальный округ
877,3,Константиновский муниципальный район
878,0,Магдагачинский муниципальный район
879,3,Мазановский муниципальный район
880,3,Михайловский муниципальный район
881,3,Октябрьский муниципальный район
882,3,Ромненский муниципальный округ
883,0,Свободненский муниципальный район
884,0,Селемджинский муниципальный район
885,3,Серышевский муниципальный округ
886,0,Сковородинский муниципальный округ
888,0,Тындинский муниципальный округ
889,3,Шимановский муниципальный округ
890,2,городской округ город Архангельск
891,0,городской округ город Коряжма
892,2,городской округ Котлас
895,2,городской округ город Новодвинск
896,2,городской округ Северодвинск
897,2,Вельский муниципальный район
898,1,Верхнетоемский муниципальный округ
899,1,муниципальный округ Вилегодский
900,1,Виноградовский муниципальный округ
901,1,муниципальный округ Каргопольский
902,3,Коношский муниципальный район
903,3,Котласский муниципальный округ
904,1,Красноборский муниципальный округ
905,1,Ленский муниципальный район
907,1,Мезенский муниципальный округ
908,2,Няндомский муниципальный округ
909,2,Онежский муниципальный район
911,2,Плесецкий муниципальный округ
912,2,Приморский муниципальный округ
913,1,Устьянский муниципальный округ
914,1,Холмогорский муниципальный округ
915,1,Шенкурский муниципальный округ
916,0,городской округ город Нарьян-Мар
917,0,муниципальный район Заполярный район
918,2,городской округ город Астрахань
920,1,Ахтубинский муниципальный район
922,1,Енотаевский муниципальный район
923,1,Икрянинский муниципальный район
924,1,Камызякский муниципальный район
925,1,Красноярский муниципальный район
926,1,Лиманский муниципальный район
927,2,Наримановский муниципальный район
928,2,Приволжский муниципальный район
929,1,Харабалинский муниципальный район
930,1,Черноярский муниципальный район
986,2,городской округ город Владимир
987,2,городской округ город Гусь-Хрустальный
988,2,городской округ город Ковров
989,2,городской округ округ Муром
991,2,Александровский муниципальный район
992,2,Вязниковский муниципальный район
993,1,Гороховецкий муниципальный район
994,1,Гусь-Хрустальный муниципальный район
995,2,Камешковский муниципальный район
996,2,Киржачский муниципальный район
998,2,Кольчугинский муниципальный район
999,1,Меленковский муниципальный район
1001,2,Петушинский муниципальный район
1002,1,Селивановский муниципальный район
1003,2,Собинский муниципальный район
1004,1,Судогодский муниципальный район
1005,2,Суздальский муниципальный район
1006,1,Юрьев-Польский муниципальный район
1007,2,городской округ город-герой Волгоград
1008,2,городской округ город Волжский
1009,2,городской округ город Камышин
1010,2,городской округ город Михайловка
1011,2,городской округ город Урюпинск
1012,2,городской округ город Фролово
1013,1,Алексеевский муниципальный район
1014,1,Быковский муниципальный район
1015,2,Городищенский муниципальный район
1016,1,Даниловский муниципальный район
1017,1,Дубовский муниципальный район
1018,1,Еланский муниципальный район
1019,1,Жирновский муниципальный район
1020,1,Иловлинский муниципальный район
1021,1,Калачевский муниципальный район
1023,1,Киквидзенский муниципальный район
1024,1,Клетский муниципальный район
1025,2,Котельниковский муниципальный район
1026,1,Котовский муниципальный район
1027,1,Кумылженский муниципальный район
1028,1,Ленинский муниципальный район
1029,1,Нехаевский муниципальный район
1030,1,Николаевский муниципальный район
1031,1,Новоаннинский муниципальный район
1032,1,Новониколаевский муниципальный район
1033,1,Октябрьский муниципальный район
1034,1,Ольховский муниципальный район
1035,1,Палласовский муниципальный район
1036,1,Руднянский муниципальный район
1037,1,Светлоярский муниципальный район
1038,1,Серафимовичский муниципальный район
1039,2,Среднеахтубинский муниципальный район
1040,1,Старополтавский муниципальный район
1041,1,Суровикинский муниципальный район
1044,1,Чернышковский муниципальный район
1047,1,Бабаевский муниципальный округ
1048,1,Бабушкинский муниципальный округ
1049,2,Белозерский муниципальный округ
1051,2,Великоустюгский муниципальный округ
1052,1,Верховажский муниципальный округ
1053,1,Вожегодский муниципальный округ
1054,1,Вологодский муниципальный округ
1055,1,Вытегорский муниципальный район
1056,1,Грязовецкий муниципальный округ
1057,1,Кадуйский муниципальный округ
1058,1,Кирилловский муниципальный округ
1059,3,Кичменгско-Городецкий муниципальный округ
1060,1,Междуреченский муниципальный округ
1061,1,Никольский муниципальный округ
1062,3,Нюксенский муниципальный округ
1063,2,Сокольский муниципальный округ
1064,1,Сямженский муниципальный округ
1065,1,Тарногский муниципальный округ
1066,1,Тотемский муниципальный округ
1067,1,Усть-Кубинский муниципальный округ
1068,1,Устюженский муниципальный округ
1069,1,Харовский муниципальный округ
1070,2,Чагодощенский муниципальный округ
1071,2,Череповецкий муниципальный район
1072,2,Шекснинский муниципальный район
1107,2,городской округ Иваново
1108,1,городской округ Вичуга
1109,2,городской округ Кинешма
1110,2,городской округ Кохма
1111,2,городской округ Тейково
1112,2,городской округ Шуя
1113,1,Вичугский муниципальный район
1115,1,Гаврилово-Посадский муниципальный район
1116,1,Заволжский муниципальный район
1117,2,Ивановский муниципальный район
1118,1,Ильинский муниципальный район
1119,1,Кинешемский муниципальный район
1120,1,Комсомольский муниципальный район
1121,1,Лежневский муниципальный район
1122,1,Лухский муниципальный район
1123,1,Палехский муниципальный район
1124,1,Пестяковский муниципальный район
1125,1,Приволжский муниципальный район
1126,1,Пучежский муниципальный район
1127,2,Родниковский муниципальный район
1128,1,Савинский муниципальный район
1129,1,Тейковский муниципальный район
1130,2,Фурмановский муниципальный район
1131,1,Шуйский муниципальный район
1132,1,Южский муниципальный район
1133,1,Юрьевецкий муниципальный район
1134,4,городской округ город Иркутск
1135,2,городской округ Ангарский
1136,2,городской округ город Братск
1137,2,городской округ Зима
1138,2,городской округ город Саянск
1139,2,городской округ город Тулун
1140,2,городской округ город Усолье-Сибирское
1141,2,городской округ город Усть-Илимск
1142,2,городской округ город Черемхово
1143,2,городской округ город Свирск
1144,1,Балаганский муниципальный район
1146,2,Братский муниципальный район
1147,2,Жигаловский муниципальный район
1148,3,Заларинский муниципальный район
1149,3,Зиминский муниципальный район
1150,4,Иркутский муниципальный район
1151,2,Казачинско-Ленский муниципальный район
1152,0,Катангский муниципальный район
1153,3,Качугский муниципальный район
1154,0,Киренский муниципальный район
1155,3,Куйтунский муниципальный район
1157,2,Нижнеилимский муниципальный район
1158,2,Нижнеудинский муниципальный район
1159,3,Ольхонский муниципальный район
1160,2,Слюдянский муниципальный район
1161,2,Тайшетский муниципальный район
1163,3,Усольский муниципальный район
1164,3,Усть-Илимский муниципальный район
1165,0,Усть-Кутский муниципальный район
1166,3,Усть-Удинский муниципальный район
1167,3,Черемховский муниципальный район
1168,3,Чунский муниципальный район
1169,2,Шелеховский муниципальный район
1170,3,Аларский муниципальный район
1171,3,Баяндаевский муниципальный район
1172,3,Боханский муниципальный район
1173,3,Нукутский муниципальный район
1174,3,Осинский муниципальный район
1175,3,Эхирит-Булагатский муниципальный район
1176,4,городской округ город Калининград
1178,1,городской округ Мамоновский
1179,2,городской округ Пионерский
1180,2,городской округ Светловский
1181,2,городской округ Советский
1184,2,городской округ Балтийский
1185,1,муниципальный округ Гвардейский
1186,4,муниципальный округ Гурьевский
1187,2,городской округ Гусевский
1188,2,муниципальный округ Зеленоградский
1189,1,муниципальный округ Краснознаменский
1190,2,городской округ Светлогорский
1191,1,муниципальный округ Неманский
1192,1,муниципальный округ Нестеровский
1193,1,муниципальный округ Озерский
1194,1,муниципальный округ Полесский
1195,1,муниципальный округ Правдинский
1196,1,муниципальный округ Славский
1197,2,муниципальный округ Черняховский
1198,2,городской округ город Калуга
1200,1,Бабынинский муниципальный район
1201,1,Барятинский муниципальный район
1203,2,Дзержинский муниципальный район
1204,1,Думиничский муниципальный район
1205,1,Жиздринский муниципальный район
1206,2,Жуковский муниципальный район
1207,2,Кировский муниципальный район
1208,1,Износковский муниципальный район
1209,2,Козельский муниципальный район
1210,1,Куйбышевский муниципальный район
1211,2,Людиновский муниципальный район
1212,2,Малоярославецкий муниципальный район
1213,1,Медынский муниципальный район
1214,1,Мещовский муниципальный район
1215,1,Мосальский муниципальный район
