method,s_e,seed,t,alpha
kefrin_t_affect,noise1,1,2,0.5796738999714394
kefrin_t_affect,noise1,1,3,0.5931291201403779
kefrin_t_affect,noise1,1,4,0.6131684360433537
kefrin_t_affect,noise1,1,5,0.608912401730798
kefrin_t_affect,noise1,1,6,0.633084899880742
kefrin_t_affect,noise1,1,7,0.5812013341232727
kefrin_t_affect,noise1,1,8,0.5964406080622878
kefrin_t_affect,noise1,1,9,0.6022125639114853
kefrin_t_affect,noise1,1,10,0.6111955505906
kefrin_t_affect,noise1,1,11,0.6113508789308502
kefrin_t_affect_fe_noreset,noise1,1,0,0.0
kefrin_t_affect_fe_noreset,noise1,1,1,0.95
kefrin_t_affect_fe_noreset,noise1,1,2,0.6105556154745506
kefrin_t_affect_fe_noreset,noise1,1,3,0.7511855689794387
kefrin_t_affect_fe_noreset,noise1,1,4,0.8513610463073819
kefrin_t_affect_fe_noreset,noise1,1,5,0.8808972188923438
kefrin_t_affect_fe_noreset,noise1,1,6,0.8875189715844521
kefrin_t_affect_fe_noreset,noise1,1,7,0.891195263068355
kefrin_t_affect_fe_noreset,noise1,1,8,0.8838038913203463
kefrin_t_affect_fe_noreset,noise1,1,9,0.731073020657637
kefrin_t_affect_fe_noreset,noise1,1,10,0.6158310015220627
kefrin_t_affect_fe_noreset,noise1,1,11,0.7283003439059793
kefrin_t_affect_fe_z4,noise1,1,0,0.0
kefrin_t_affect_fe_z4,noise1,1,1,0.95
kefrin_t_affect_fe_z4,noise1,1,2,0.6205166236346324
kefrin_t_affect_fe_z4,noise1,1,3,0.7732936365243571
kefrin_t_affect_fe_z4,noise1,1,4,0.8550440029406997
kefrin_t_affect_fe_z4,noise1,1,5,0.8882119547266284
kefrin_t_affect_fe_z4,noise1,1,6,0.8898211060840364
kefrin_t_affect_fe_z4,noise1,1,7,0.9021424112807408
kefrin_t_affect_fe_z4,noise1,1,8,0.9022338167734086
kefrin_t_affect_fe_z4,noise1,1,9,0.8650357973796554
kefrin_t_affect_fe_z4,noise1,1,10,0.8414893027878592
kefrin_t_affect_fe_z4,noise1,1,11,0.8171865417179175
kefrin_t_affect_fe_z2.5,noise1,1,0,0.0
kefrin_t_affect_fe_z2.5,noise1,1,1,0.95
kefrin_t_affect_fe_z2.5,noise1,1,2,0.6327502192890094
kefrin_t_affect_fe_z2.5,noise1,1,3,0.7954474332766701
kefrin_t_affect_fe_z2.5,noise1,1,4,0.878082388495156
kefrin_t_affect_fe_z2.5,noise1,1,5,0.8824726091471058
kefrin_t_affect_fe_z2.5,noise1,1,6,0.8836092476815287
kefrin_t_affect_fe_z2.5,noise1,1,7,0.9061213290236625
kefrin_t_affect_fe_z2.5,noise1,1,8,0.8993619268580975
kefrin_t_affect_fe_z2.5,noise1,1,9,0.8916094138514654
kefrin_t_affect_fe_z2.5,noise1,1,10,0.8958114690040343
kefrin_t_affect_fe_z2.5,noise1,1,11,0.9041365232229176
kefrin_t_affect_fe_z2.5_2pass,noise1,1,0,0.0
kefrin_t_affect_fe_z2.5_2pass,noise1,1,1,0.95
kefrin_t_affect_fe_z2.5_2pass,noise1,1,2,0.6366561415553661
kefrin_t_affect_fe_z2.5_2pass,noise1,1,3,0.7956042310864032
kefrin_t_affect_fe_z2.5_2pass,noise1,1,4,0.8779441487723286
kefrin_t_affect_fe_z2.5_2pass,noise1,1,5,0.882253931473198
kefrin_t_affect_fe_z2.5_2pass,noise1,1,6,0.8834737505083332
kefrin_t_affect_fe_z2.5_2pass,noise1,1,7,0.9062547383721831
kefrin_t_affect_fe_z2.5_2pass,noise1,1,8,0.8994405714870944
kefrin_t_affect_fe_z2.5_2pass,noise1,1,9,0.8915815403531119
kefrin_t_affect_fe_z2.5_2pass,noise1,1,10,0.8958988895933235
kefrin_t_affect_fe_z2.5_2pass,noise1,1,11,0.9041762600036807
kefrin_t_affect_fe_z2.5_ma3,noise1,1,0,0.0
kefrin_t_affect_fe_z2.5_ma3,noise1,1,1,0.95
kefrin_t_affect_fe_z2.5_ma3,noise1,1,2,0.7597128666369701
kefrin_t_affect_fe_z2.5_ma3,noise1,1,3,0.8315631699292998
kefrin_t_affect_fe_z2.5_ma3,noise1,1,4,0.8016677387587797
kefrin_t_affect_fe_z2.5_ma3,noise1,1,5,0.8860686315658262
kefrin_t_affect_fe_z2.5_ma3,noise1,1,6,0.8811590942637828
kefrin_t_affect_fe_z2.5_ma3,noise1,1,7,0.7459330677106252
kefrin_t_affect_fe_z2.5_ma3,noise1,1,8,0.7727001866171027
kefrin_t_affect_fe_z2.5_ma3,noise1,1,9,0.7951032627275878
kefrin_t_affect_fe_z2.5_ma3,noise1,1,10,0.8344379391090219
kefrin_t_affect_fe_z2.5_ma3,noise1,1,11,0.9036029443212604
kefrin_t_affect_fe_z2.5_2pass_ma3,noise1,1,0,0.0
kefrin_t_affect_fe_z2.5_2pass_ma3,noise1,1,1,0.95
kefrin_t_affect_fe_z2.5_2pass_ma3,noise1,1,2,0.7597128666369701
kefrin_t_affect_fe_z2.5_2pass_ma3,noise1,1,3,0.8315631699292998
kefrin_t_affect_fe_z2.5_2pass_ma3,noise1,1,4,0.8016677387587797
kefrin_t_affect_fe_z2.5_2pass_ma3,noise1,1,5,0.8860686315658262
kefrin_t_affect_fe_z2.5_2pass_ma3,noise1,1,6,0.8811590942637828
kefrin_t_affect_fe_z2.5_2pass_ma3,noise1,1,7,0.7459330677106252
kefrin_t_affect_fe_z2.5_2pass_ma3,noise1,1,8,0.7727001866171027
kefrin_t_affect_fe_z2.5_2pass_ma3,noise1,1,9,0.7951032627275878
kefrin_t_affect_fe_z2.5_2pass_ma3,noise1,1,10,0.8344379391090219
kefrin_t_affect_fe_z2.5_2pass_ma3,noise1,1,11,0.9036029443212604
kefrin_t_affect,noise1,2,0,0.0
kefrin_t_affect,noise1,2,1,0.4806652501993002
kefrin_t_affect,noise1,2,2,0.5652423890783906
kefrin_t_affect,noise1,2,3,0.5922500704489553
kefrin_t_affect,noise1,2,4,0.6012534801408771
kefrin_t_affect,noise1,2,5,0.5952993696786488
kefrin_t_affect,noise1,2,6,0.6581199940165429
kefrin_t_affect,noise1,2,7,0.5434154342279243
kefrin_t_affect,noise1,2,8,0.5786132008468192
kefrin_t_affect,noise1,2,9,0.5968796209053693
kefrin_t_affect,noise1,2,10,0.5936711033403215
kefrin_t_affect,noise1,2,11,0.6105057989012621
kefrin_t_affect_fe_noreset,noise1,2,0,0.0
kefrin_t_affect_fe_noreset,noise1,2,1,0.95
kefrin_t_affect_fe_noreset,noise1,2,2,0.6048100130664548
kefrin_t_affect_fe_noreset,noise1,2,3,0.7532233882988049
kefrin_t_affect_fe_noreset,noise1,2,4,0.8306016740569032
kefrin_t_affect_fe_noreset,noise1,2,5,0.8221268066228361
kefrin_t_affect_fe_noreset,noise1,2,6,0.8764893035696243
kefrin_t_affect_fe_noreset,noise1,2,7,0.8571914328270227
kefrin_t_affect_fe_noreset,noise1,2,8,0.7872463335849809
kefrin_t_affect_fe_noreset,noise1,2,9,0.4552101995676039
kefrin_t_affect_fe_noreset,noise1,2,10,0.6973360376937089
kefrin_t_affect_fe_noreset,noise1,2,11,0.7988330702806723
kefrin_t_affect_fe_z4,noise1,2,0,0.0
kefrin_t_affect_fe_z4,noise1,2,1,0.95
kefrin_t_affect_fe_z4,noise1,2,2,0.5950339693979783
kefrin_t_affect_fe_z4,noise1,2,3,0.8406703913469588
kefrin_t_affect_fe_z4,noise1,2,4,0.8722807980809354
kefrin_t_affect_fe_z4,noise1,2,5,0.8856661621441515
kefrin_t_affect_fe_z4,noise1,2,6,0.8816754302384816
kefrin_t_affect_fe_z4,noise1,2,7,0.9119851348481796
kefrin_t_affect_fe_z4,noise1,2,8,0.9217685543129099
kefrin_t_affect_fe_z4,noise1,2,9,0.8908621975018666
kefrin_t_affect_fe_z4,noise1,2,10,0.892070970714407
kefrin_t_affect_fe_z4,noise1,2,11,0.8944025514682279
kefrin_t_affect_fe_z2.5,noise1,2,0,0.0
kefrin_t_affect_fe_z2.5,noise1,2,1,0.95
kefrin_t_affect_fe_z2.5,noise1,2,2,0.6097491894875292
kefrin_t_affect_fe_z2.5,noise1,2,3,0.854239885864331
kefrin_t_affect_fe_z2.5,noise1,2,4,0.8767115243504315
kefrin_t_affect_fe_z2.5,noise1,2,5,0.8831387445718927
kefrin_t_affect_fe_z2.5,noise1,2,6,0.8824059322859134
kefrin_t_affect_fe_z2.5,noise1,2,7,0.912070698167133
kefrin_t_affect_fe_z2.5,noise1,2,8,0.9092346445572427
kefrin_t_affect_fe_z2.5,noise1,2,9,0.9041241036258089
kefrin_t_affect_fe_z2.5,noise1,2,10,0.909742642384244
kefrin_t_affect_fe_z2.5,noise1,2,11,0.9152690620733505
kefrin_t_affect_fe_z2.5_2pass,noise1,2,0,0.0
kefrin_t_affect_fe_z2.5_2pass,noise1,2,1,0.95
kefrin_t_affect_fe_z2.5_2pass,noise1,2,2,0.6097491894875292
kefrin_t_affect_fe_z2.5_2pass,noise1,2,3,0.854239885864331
kefrin_t_affect_fe_z2.5_2pass,noise1,2,4,0.8767115243504315
kefrin_t_affect_fe_z2.5_2pass,noise1,2,5,0.8831387445718927
kefrin_t_affect_fe_z2.5_2pass,noise1,2,6,0.8824059322859134
kefrin_t_affect_fe_z2.5_2pass,noise1,2,7,0.912070698167133
kefrin_t_affect_fe_z2.5_2pass,noise1,2,8,0.9092346445572427
kefrin_t_affect_fe_z2.5_2pass,noise1,2,9,0.9041241036258089
kefrin_t_affect_fe_z2.5_2pass,noise1,2,10,0.909742642384244
kefrin_t_affect_fe_z2.5_2pass,noise1,2,11,0.9152690620733505
kefrin_t_affect_fe_z2.5_ma3,noise1,2,0,0.0
kefrin_t_affect_fe_z2.5_ma3,noise1,2,1,0.95
kefrin_t_affect_fe_z2.5_ma3,noise1,2,2,0.8244162600964757
kefrin_t_affect_fe_z2.5_ma3,noise1,2,3,0.8144154762874931
kefrin_t_affect_fe_z2.5_ma3,noise1,2,4,0.8555253340292647
kefrin_t_affect_fe_z2.5_ma3,noise1,2,5,0.8323457473367031
kefrin_t_affect_fe_z2.5_ma3,noise1,2,6,0.8503718404127089
kefrin_t_affect_fe_z2.5_ma3,noise1,2,7,0.5911822718742249
kefrin_t_affect_fe_z2.5_ma3,noise1,2,8,0.8070863359682028
kefrin_t_affect_fe_z2.5_ma3,noise1,2,9,0.822836908308236
kefrin_t_affect_fe_z2.5_ma3,noise1,2,10,0.7870576501437647
kefrin_t_affect_fe_z2.5_ma3,noise1,2,11,0.9250983593267008
kefrin_t_affect_fe_z2.5_2pass_ma3,noise1,2,0,0.0
kefrin_t_affect_fe_z2.5_2pass_ma3,noise1,2,1,0.95
kefrin_t_affect_fe_z2.5_2pass_ma3,noise1,2,2,0.8244162600964757
kefrin_t_affect_fe_z2.5_2pass_ma3,noise1,2,3,0.8144154762874931
kefrin_t_affect_fe_z2.5_2pass_ma3,noise1,2,4,0.8555253340292647
kefrin_t_affect_fe_z2.5_2pass_ma3,noise1,2,5,0.8323457473367031
kefrin_t_affect_fe_z2.5_2pass_ma3,noise1,2,6,0.8503718404127089
kefrin_t_affect_fe_z2.5_2pass_ma3,noise1,2,7,0.5911822718742249
kefrin_t_affect_fe_z2.5_2pass_ma3,noise1,2,8,0.8070863359682028
kefrin_t_affect_fe_z2.5_2pass_ma3,noise1,2,9,0.822836908308236
kefrin_t_affect_fe_z2.5_2pass_ma3,noise1,2,10,0.7870576501437647
kefrin_t_affect_fe_z2.5_2pass_ma3,noise1,2,11,0.9250983593267008
kefrin_t_affect,noise1,3,0,0.0
kefrin_t_affect,noise1,3,1,0.4916401695284583
kefrin_t_affect,noise1,3,2,0.5668483357980053
kefrin_t_affect,noise1,3,3,0.5866767144704288
kefrin_t_affect,noise1,3,4,0.6048100936474052
kefrin_t_affect,noise1,3,5,0.6196739386805802
kefrin_t_affect,noise1,3,6,0.6774094639054208
kefrin_t_affect,noise1,3,7,0.5312515342098426
kefrin_t_affect,noise1,3,8,0.5624795765324924
kefrin_t_affect,noise1,3,9,0.5961423822925452
kefrin_t_affect,noise1,3,10,0.6023413932770134
kefrin_t_affect,noise1,3,11,0.60469233822393
kefrin_t_affect_fe_noreset,noise1,3,0,0.0
kefrin_t_affect_fe_noreset,noise1,3,1,0.95
kefrin_t_affect_fe_noreset,noise1,3,2,0.6929544825363141
kefrin_t_affect_fe_noreset,noise1,3,3,0.7267306358798968
kefrin_t_affect_fe_noreset,noise1,3,4,0.8662768999118736
kefrin_t_affect_fe_noreset,noise1,3,5,0.8344568501055365
kefrin_t_affect_fe_noreset,noise1,3,6,0.863180297437025
kefrin_t_affect_fe_noreset,noise1,3,7,0.8584373946441659
kefrin_t_affect_fe_noreset,noise1,3,8,0.8573883465181102
kefrin_t_affect_fe_noreset,noise1,3,9,0.40100174229303365
kefrin_t_affect_fe_noreset,noise1,3,10,0.6827295635260292
kefrin_t_affect_fe_noreset,noise1,3,11,0.782419504639008
kefrin_t_affect_fe_z4,noise1,3,0,0.0
kefrin_t_affect_fe_z4,noise1,3,1,0.95
kefrin_t_affect_fe_z4,noise1,3,2,0.6279840227760645
kefrin_t_affect_fe_z4,noise1,3,3,0.8314149836442464
kefrin_t_affect_fe_z4,noise1,3,4,0.8822914917989914
kefrin_t_affect_fe_z4,noise1,3,5,0.8920799167375303
kefrin_t_affect_fe_z4,noise1,3,6,0.8785801664249973
kefrin_t_affect_fe_z4,noise1,3,7,0.9213842880868137
kefrin_t_affect_fe_z4,noise1,3,8,0.9122985257960549
kefrin_t_affect_fe_z4,noise1,3,9,0.8762288649999943
kefrin_t_affect_fe_z4,noise1,3,10,0.8626912109128624
kefrin_t_affect_fe_z4,noise1,3,11,0.8761837277906498
kefrin_t_affect_fe_z2.5,noise1,3,0,0.0
kefrin_t_affect_fe_z2.5,noise1,3,1,0.95
kefrin_t_affect_fe_z2.5,noise1,3,2,0.6589869459239306
kefrin_t_affect_fe_z2.5,noise1,3,3,0.8390756223071699
kefrin_t_affect_fe_z2.5,noise1,3,4,0.8794424631199625
kefrin_t_affect_fe_z2.5,noise1,3,5,0.8967479298382759
kefrin_t_affect_fe_z2.5,noise1,3,6,0.8764027983392153
kefrin_t_affect_fe_z2.5,noise1,3,7,0.9242743342364274
kefrin_t_affect_fe_z2.5,noise1,3,8,0.9020563769416031
kefrin_t_affect_fe_z2.5,noise1,3,9,0.898457598180634
kefrin_t_affect_fe_z2.5,noise1,3,10,0.9130358343828301
kefrin_t_affect_fe_z2.5,noise1,3,11,0.9063735480291946
kefrin_t_affect_fe_z2.5_2pass,noise1,3,0,0.0
kefrin_t_affect_fe_z2.5_2pass,noise1,3,1,0.95
kefrin_t_affect_fe_z2.5_2pass,noise1,3,2,0.6589869459239306
kefrin_t_affect_fe_z2.5_2pass,noise1,3,3,0.8390756223071699
kefrin_t_affect_fe_z2.5_2pass,noise1,3,4,0.8794424631199625
kefrin_t_affect_fe_z2.5_2pass,noise1,3,5,0.8967479298382759
kefrin_t_affect_fe_z2.5_2pass,noise1,3,6,0.8764027983392153
kefrin_t_affect_fe_z2.5_2pass,noise1,3,7,0.9242743342364274
kefrin_t_affect_fe_z2.5_2pass,noise1,3,8,0.9020563769416031
kefrin_t_affect_fe_z2.5_2pass,noise1,3,9,0.898457598180634
kefrin_t_affect_fe_z2.5_2pass,noise1,3,10,0.9130358343828301
kefrin_t_affect_fe_z2.5_2pass,noise1,3,11,0.9063735480291946
kefrin_t_affect_fe_z2.5_ma3,noise1,3,0,0.0
kefrin_t_affect_fe_z2.5_ma3,noise1,3,1,0.95
kefrin_t_affect_fe_z2.5_ma3,noise1,3,2,0.8181857147292918
kefrin_t_affect_fe_z2.5_ma3,noise1,3,3,0.8073243465335131
kefrin_t_affect_fe_z2.5_ma3,noise1,3,4,0.8807830903685665
kefrin_t_affect_fe_z2.5_ma3,noise1,3,5,0.8294377575566416
kefrin_t_affect_fe_z2.5_ma3,noise1,3,6,0.7692654574858193
kefrin_t_affect_fe_z2.5_ma3,noise1,3,7,0.3608947237485181
kefrin_t_affect_fe_z2.5_ma3,noise1,3,8,0.735308556927176
kefrin_t_affect_fe_z2.5_ma3,noise1,3,9,0.7433853269121534
kefrin_t_affect_fe_z2.5_ma3,noise1,3,10,0.7399307818715776
kefrin_t_affect_fe_z2.5_ma3,noise1,3,11,0.8654343813401021
kefrin_t_affect_fe_z2.5_2pass_ma3,noise1,3,0,0.0
kefrin_t_affect_fe_z2.5_2pass_ma3,noise1,3,1,0.95
kefrin_t_affect_fe_z2.5_2pass_ma3,noise1,3,2,0.8181857147292918
kefrin_t_affect_fe_z2.5_2pass_ma3,noise1,3,3,0.8073243465335131
kefrin_t_affect_fe_z2.5_2pass_ma3,noise1,3,4,0.8807830903685665
kefrin_t_affect_fe_z2.5_2pass_ma3,noise1,3,5,0.8294377575566416
kefrin_t_affect_fe_z2.5_2pass_ma3,noise1,3,6,0.7692654574858193
kefrin_t_affect_fe_z2.5_2pass_ma3,noise1,3,7,0.3608947237485181
kefrin_t_affect_fe_z2.5_2pass_ma3,noise1,3,8,0.735308556927176
kefrin_t_affect_fe_z2.5_2pass_ma3,noise1,3,9,0.7433853269121534
kefrin_t_affect_fe_z2.5_2pass_ma3,noise1,3,10,0.7399307818715776
kefrin_t_affect_fe_z2.5_2pass_ma3,noise1,3,11,0.8654343813401021
kefrin_t_affect,noise1,4,0,0.0
kefrin_t_affect,noise1,4,1,0.49976750186018715
kefrin_t_affect,noise1,4,2,0.5622321308703574
kefrin_t_affect,noise1,4,3,0.5865170599154367
kefrin_t_affect,noise1,4,4,0.6117250878401346
kefrin_t_affect,noise1,4,5,0.6183448472706908
kefrin_t_affect,noise1,4,6,0.6564992243840841
kefrin_t_affect,noise1,4,7,0.5860478265316115
kefrin_t_affect,noise1,4,8,0.584043965421316
kefrin_t_affect,noise1,4,9,0.6189657131568141
kefrin_t_affect,noise1,4,10,0.5962468348170049
kefrin_t_affect,noise1,4,11,0.616617973360052
kefrin_t_affect_fe_noreset,noise1,4,0,0.0
kefrin_t_affect_fe_noreset,noise1,4,1,0.95
kefrin_t_affect_fe_noreset,noise1,4,2,0.5817384006184366
kefrin_t_affect_fe_noreset,noise1,4,3,0.7544408871299678
kefrin_t_affect_fe_noreset,noise1,4,4,0.8417788483335301
kefrin_t_affect_fe_noreset,noise1,4,5,0.8797418627939101
kefrin_t_affect_fe_noreset,noise1,4,6,0.8850216117742588
kefrin_t_affect_fe_noreset,noise1,4,7,0.8672127613627512
kefrin_t_affect_fe_noreset,noise1,4,8,0.8648342467241493
kefrin_t_affect_fe_noreset,noise1,4,9,0.7940516983503075
kefrin_t_affect_fe_noreset,noise1,4,10,0.5505179900818514
kefrin_t_affect_fe_noreset,noise1,4,11,0.7299376502993421
kefrin_t_affect_fe_z4,noise1,4,0,0.0
kefrin_t_affect_fe_z4,noise1,4,1,0.95
kefrin_t_affect_fe_z4,noise1,4,2,0.5847934435277838
kefrin_t_affect_fe_z4,noise1,4,3,0.8005939445615278
kefrin_t_affect_fe_z4,noise1,4,4,0.8690838729304651
kefrin_t_affect_fe_z4,noise1,4,5,0.8817836022194459
kefrin_t_affect_fe_z4,noise1,4,6,0.8895560938305462
kefrin_t_affect_fe_z4,noise1,4,7,0.8857374734968845
kefrin_t_affect_fe_z4,noise1,4,8,0.8893427385952372
kefrin_t_affect_fe_z4,noise1,4,9,0.8999827559473255
kefrin_t_affect_fe_z4,noise1,4,10,0.8765712844690796
kefrin_t_affect_fe_z4,noise1,4,11,0.863022130178809
kefrin_t_affect_fe_z2.5,noise1,4,0,0.0
kefrin_t_affect_fe_z2.5,noise1,4,1,0.95
kefrin_t_affect_fe_z2.5,noise1,4,2,0.5921692552139217
kefrin_t_affect_fe_z2.5,noise1,4,3,0.8375336463397954
kefrin_t_affect_fe_z2.5,noise1,4,4,0.8748227870414476
kefrin_t_affect_fe_z2.5,noise1,4,5,0.8845095697177126
kefrin_t_affect_fe_z2.5,noise1,4,6,0.8837852682382636
kefrin_t_affect_fe_z2.5,noise1,4,7,0.9086136361729692
kefrin_t_affect_fe_z2.5,noise1,4,8,0.9036601791474101
kefrin_t_affect_fe_z2.5,noise1,4,9,0.9087951659686858
kefrin_t_affect_fe_z2.5,noise1,4,10,0.9008201464731805
kefrin_t_affect_fe_z2.5,noise1,4,11,0.9025872353637121
kefrin_t_affect_fe_z2.5_2pass,noise1,4,0,0.0
kefrin_t_affect_fe_z2.5_2pass,noise1,4,1,0.95
kefrin_t_affect_fe_z2.5_2pass,noise1,4,2,0.5891970072725246
kefrin_t_affect_fe_z2.5_2pass,noise1,4,3,0.8368256782332099
kefrin_t_affect_fe_z2.5_2pass,noise1,4,4,0.8750331588563652
kefrin_t_affect_fe_z2.5_2pass,noise1,4,5,0.8847194717639344
kefrin_t_affect_fe_z2.5_2pass,noise1,4,6,0.8839638037341379
kefrin_t_affect_fe_z2.5_2pass,noise1,4,7,0.908593300591017
kefrin_t_affect_fe_z2.5_2pass,noise1,4,8,0.9036254202541316
kefrin_t_affect_fe_z2.5_2pass,noise1,4,9,0.9087800138436969
kefrin_t_affect_fe_z2.5_2pass,noise1,4,10,0.9006961869270296
kefrin_t_affect_fe_z2.5_2pass,noise1,4,11,0.9025623683117553
kefrin_t_affect_fe_z2.5_ma3,noise1,4,0,0.0
kefrin_t_affect_fe_z2.5_ma3,noise1,4,1,0.667640858143395
kefrin_t_affect_fe_z2.5_ma3,noise1,4,2,0.7522885910159532
kefrin_t_affect_fe_z2.5_ma3,noise1,4,3,0.936610019246277
kefrin_t_affect_fe_z2.5_ma3,noise1,4,4,0.8765752573342016
kefrin_t_affect_fe_z2.5_ma3,noise1,4,5,0.8347844170359447
kefrin_t_affect_fe_z2.5_ma3,noise1,4,6,0.8563479740264258
